Time, Latitude, Longitude, currentHeading, desiredHeading, headingError, Roll, WindReading, WindDirection, winchPulseWidth, autoRudderAngle, distanceToTarget 
16545200.00, 38.690983, -9.294625, 349.55, 202.79, -146.77, -17.69,81,70, 2056, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 350.12, 202.79, -147.33, -16.44,81,71, 2056, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 350.26, 202.79, -147.47, -15.31,85,75, 2056, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 350.43, 202.79, -147.65, -14.38,85,75, 2056, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 350.37, 202.79, -147.58, -13.56,89,79, 2052, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 350.20, 202.79, -147.42, -12.31,89,79, 2052, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 349.71, 202.79, -146.92, -11.06,93,82, 2056, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 348.66, 202.79, -145.87, -9.75,96,84, 2056, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 347.33, 202.79, -144.54, -8.06,96,83, 2056, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 346.06, 202.79, -143.28, -7.00,99,85, 2028, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 344.56, 202.79, -141.78, -6.19,99,83, 2028, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 342.29, 202.79, -139.50, -5.37,99,81, 2028, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 338.34, 202.79, -135.56, -4.62,99,77, 2028, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 334.96, 202.79, -132.17, -3.69,97,71, 2032, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 331.42, 202.79, -128.63, -2.50,97,68, 2032, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 328.46, 202.79, -125.68, -1.25,89,57, 2032, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 325.74, 202.79, -122.95, -0.56,89,54, 2032, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 322.58, 202.79, -119.79, 0.19,86,48, 2032, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 319.83, 202.79, -117.05, 1.06,86,45, 2032, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 316.76, 202.79, -113.97, 1.87,81,37, 2032, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 312.74, 202.79, -109.95, 2.75,81,33, 2032, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 309.52, 202.79, -106.73, 3.62,76,25, 2032, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 305.86, 202.79, -103.07, 4.44,76,21, 2032, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 302.73, 202.79, -99.94, 5.06,72,14, 2032, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 299.40, 202.79, -96.61, 5.69,72,11, 2032, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 296.33, 202.79, -93.54, 6.19,67,3, 2028, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 293.79, 202.79, -91.00, 6.56,67,0, 2028, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 292.00, 202.79, -89.21, 6.75,65,356, 2028, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 289.83, 202.79, -87.04, 6.87,65,354, 2028, -45.00, 39.12
16545200.00, 38.690983, -9.294625, 286.98, 202.79, -84.19, 6.87,65,351, 2028, -45.00, 39.12
16545400.00, 38.690994, -9.294629, 284.21, 202.79, -81.42, 6.75,65,349, 2028, -45.00, 40.17
16545400.00, 38.690994, -9.294629, 281.47, 202.79, -78.69, 6.50,65,346, 2028, -45.00, 40.17
16545400.00, 38.690994, -9.294629, 278.87, 202.79, -76.09, 6.25,65,343, 2028, -45.00, 40.17
16545400.00, 38.690994, -9.294629, 276.34, 202.79, -73.56, 5.94,65,341, 2032, -45.00, 40.17
16545400.00, 38.690994, -9.294629, 274.13, 202.79, -71.34, 5.56,65,339, 2032, -45.00, 40.17
16545400.00, 38.690994, -9.294629, 271.67, 202.79, -68.89, 5.25,65,336, 2032, -45.00, 40.17
16545400.00, 38.690994, -9.294629, 269.59, 202.79, -66.80, 4.81,65,334, 2032, -45.00, 40.17
16545400.00, 38.690994, -9.294629, 266.47, 202.79, -63.68, 4.37,65,331, 2032, -42.27, 40.17
16545400.00, 38.690994, -9.294629, 263.58, 202.79, -60.80, 3.81,65,328, 2032, -37.51, 40.17
16545400.00, 38.690994, -9.294629, 260.52, 202.79, -57.73, 3.06,66,326, 2032, -33.76, 40.17
16545400.00, 38.690994, -9.294629, 257.61, 202.79, -54.83, 2.56,66,323, 2032, -31.01, 40.17
16545400.00, 38.690994, -9.294629, 254.30, 202.79, -51.52, 2.12,66,320, 2032, -28.54, 40.17
16545400.00, 38.690994, -9.294629, 251.38, 202.79, -48.59, 1.75,66,317, 2032, -26.77, 40.17
16545400.00, 38.690994, -9.294629, 249.14, 202.79, -46.35, 1.37,66,315, 2028, -25.63, 40.17
16545400.00, 38.690994, -9.294629, 246.60, 202.79, -43.81, 1.06,66,312, 2028, -25.00, 40.17
16545400.00, 38.690994, -9.294629, 244.52, 202.79, -41.73, 0.69,67,311, 2028, -25.00, 40.17
16545400.00, 38.690994, -9.294629, 242.46, 202.79, -39.67, 0.31,67,309, 2028, -25.00, 40.17
16545400.00, 38.690994, -9.294629, 240.80, 202.79, -38.01, 0.00,70,310, 2032, -25.00, 40.17
16545400.00, 38.690994, -9.294629, 239.47, 202.79, -36.68, -0.44,70,309, 2032, -25.00, 40.17
16545500.00, 38.690990, -9.294632, 238.19, 202.79, -35.41, -0.69,71,309, 2032, -25.00, 39.69
16545500.00, 38.690990, -9.294632, 236.01, 202.79, -33.22, -0.81,71,307, 2032, -25.00, 39.69
16545500.00, 38.690990, -9.294632, 234.25, 202.79, -31.46, -0.94,72,306, 2032, -25.00, 39.69
16545500.00, 38.690990, -9.294632, 232.84, 202.79, -30.05, -1.12,72,304, 2032, -25.00, 39.69
16545500.00, 38.690990, -9.294632, 231.38, 202.79, -28.59, -1.25,76,307, 2032, -25.00, 39.69
16545500.00, 38.690990, -9.294632, 229.61, 202.79, -26.83, -1.37,76,305, 2032, -25.00, 39.69
16545500.00, 38.690990, -9.294632, 228.32, 202.79, -25.53, -1.44,81,309, 2028, -25.00, 39.69
16545500.00, 38.690990, -9.294632, 227.02, 202.79, -24.24, -1.44,81,308, 2028, -23.82, 39.69
16545500.00, 38.690990, -9.294632, 226.08, 202.79, -23.29, -1.44,85,311, 2028, -22.38, 39.69
16545500.00, 38.690990, -9.294632, 224.91, 202.79, -22.13, -1.50,85,309, 2028, -20.66, 39.69
16545500.00, 38.690990, -9.294632, 223.78, 202.79, -21.00, -1.56,89,312, 2028, -19.04, 39.69
16545500.00, 38.690990, -9.294632, 222.48, 202.79, -19.69, -1.62,89,311, 2028, -17.22, 39.69
16545500.00, 38.690990, -9.294632, 221.35, 202.79, -18.57, -1.62,92,313, 2032, -15.69, 39.69
16545500.00, 38.690990, -9.294632, 220.40, 202.79, -17.61, -1.56,92,312, 2032, -14.43, 39.69
16545500.00, 38.690990, -9.294632, 219.56, 202.79, -16.77, -1.50,96,315, 2032, -13.34, 39.69
16545500.00, 38.690990, -9.294632, 218.79, 202.79, -16.00, -1.44,96,314, 2032, -12.36, 39.69
