Time, Latitude, Longitude, currentHeading, desiredHeading, headingError, Roll, WindReading, WindDirection, winchPulseWidth, autoRudderAngle, distanceToTarget 
16532200.00, 38.691025, -9.294464, 274.42, 215.58, -58.84, -12.56,108,22, 1608, -34.99, 50.08
16532200.00, 38.691025, -9.294464, 274.03, 215.58, -58.44, -12.88,108,22, 1608, -34.54, 50.08
16532200.00, 38.691025, -9.294464, 274.01, 215.58, -58.42, -13.38,108,22, 1580, -34.51, 50.08
16532200.00, 38.691025, -9.294464, 273.51, 215.58, -57.92, -14.13,108,21, 1580, -33.96, 50.08
16532300.00, 38.691025, -9.294472, 272.87, 215.58, -57.28, -14.94,112,24, 1580, -33.29, 49.70
16532300.00, 38.691025, -9.294472, 272.38, 215.58, -56.79, -15.56,112,24, 1580, -32.79, 49.70
16532300.00, 38.691025, -9.294472, 271.37, 215.58, -55.79, -16.56,120,31, 1580, -31.84, 49.70
16532300.00, 38.691025, -9.294472, 269.81, 215.58, -54.23, -16.87,120,29, 1580, -30.51, 49.70
16532300.00, 38.691025, -9.294472, 268.31, 215.58, -52.72, -17.37,123,31, 1584, -29.37, 49.70
16532300.00, 38.691025, -9.294472, 266.85, 215.58, -51.27, -17.69,124,30, 1584, -28.38, 49.70
16532300.00, 38.691025, -9.294472, 265.46, 215.58, -49.87, -17.94,124,29, 1584, -27.51, 49.70
16532300.00, 38.691025, -9.294472, 264.01, 215.58, -48.42, -18.06,126,30, 1584, -26.68, 49.70
16532300.00, 38.691025, -9.294472, 261.94, 215.58, -46.36, -18.00,126,27, 1584, -25.63, 49.70
16532300.00, 38.691025, -9.294472, 258.87, 215.58, -43.28, -17.81,127,25, 1580, -25.00, 49.70
16532300.00, 38.691025, -9.294472, 255.28, 215.58, -39.70, -17.50,127,22, 1580, -25.00, 49.70
16532300.00, 38.691025, -9.294472, 252.07, 215.58, -36.49, -17.25,129,21, 1580, -25.00, 49.70
16532300.00, 38.691025, -9.294472, 249.00, 215.58, -33.42, -16.69,129,18, 1580, -25.00, 49.70
16532300.00, 38.691025, -9.294472, 245.78, 215.58, -30.20, -16.06,131,16, 1580, -25.00, 49.70
16532300.00, 38.691025, -9.294472, 242.88, 215.58, -27.30, -15.13,131,13, 1580, -25.00, 49.70
16532300.00, 38.691025, -9.294472, 240.15, 215.58, -24.57, -14.13,134,14, 1580, -24.33, 49.70
16532300.00, 38.691025, -9.294472, 237.45, 215.58, -21.87, -13.19,134,11, 1580, -20.29, 49.70
16532300.00, 38.691025, -9.294472, 234.49, 215.58, -18.91, -12.06,140,14, 1580, -16.15, 49.70
16532400.00, 38.691025, -9.294480, 231.56, 215.58, -15.97, -11.06,140,11, 1580, -12.33, 49.28
16532400.00, 38.691025, -9.294480, 228.92, 215.58, -13.34, -10.13,145,13, 1580, -9.10, 49.28
16532400.00, 38.691025, -9.294480, 225.24, 215.58, -9.66, -9.00,145,10, 1580, -4.89, 49.28
16532400.00, 38.691025, -9.294480, 221.87, 215.58, -6.28, -7.50,148,9, 1580, -1.30, 49.28
16532400.00, 38.691025, -9.294480, 218.98, 215.58, -3.39, -6.00,148,6, 1580, 0.00, 49.28
16532400.00, 38.691025, -9.294480, 216.33, 215.58, -0.74, -5.00,149,5, 1584, 0.00, 49.28
16532400.00, 38.691025, -9.294480, 213.82, 215.58, 1.77, -3.75,149,2, 1584, 0.00, 49.28
16532400.00, 38.691025, -9.294480, 211.60, 215.58, 3.98, -2.50,148,359, 1584, 0.00, 49.28
16532400.00, 38.691025, -9.294480, 209.80, 215.58, 5.78, -1.50,148,357, 1584, 0.79, 49.28
16532400.00, 38.691025, -9.294480, 208.40, 215.58, 7.18, -0.56,147,355, 1580, 2.23, 49.28
16532400.00, 38.691025, -9.294480, 206.98, 215.58, 8.60, 0.37,147,353, 1580, 3.73, 49.28
16532400.00, 38.691025, -9.294480, 205.69, 215.58, 9.89, 1.12,147,352, 1580, 5.15, 49.28
16532400.00, 38.691025, -9.294480, 204.77, 215.58, 10.81, 1.87,147,351, 1580, 6.17, 49.28
16532400.00, 38.691025, -9.294480, 203.97, 215.58, 11.62, 2.44,147,350, 1580, 7.08, 49.28
16532400.00, 38.691025, -9.294480, 203.09, 215.58, 12.49, 2.94,147,350, 1580, 8.10, 49.28
16532400.00, 38.691025, -9.294480, 202.51, 215.58, 13.07, 3.25,147,349, 1580, 8.78, 49.28
16532500.00, 38.691025, -9.294480, 201.46, 215.58, 14.12, 3.62,147,348, 1580, 10.04, 49.28
16532500.00, 38.691025, -9.294480, 200.99, 215.58, 14.59, 3.75,144,344, 1580, 10.61, 49.28
16532500.00, 38.691025, -9.294480, 200.23, 215.58, 15.35, 3.81,144,344, 1580, 11.55, 49.28
16532500.00, 38.691025, -9.294480, 200.05, 215.58, 15.54, 3.75,137,337, 1580, 11.78, 49.28
16532500.00, 38.691025, -9.294480, 199.14, 215.58, 16.45, 3.75,137,336, 1580, 12.93, 49.28
16532500.00, 38.691025, -9.294480, 198.95, 215.58, 16.64, 3.69,126,324, 1580, 13.17, 49.28
16532500.00, 38.691025, -9.294480, 198.23, 215.58, 17.36, 3.62,126,324, 1580, 14.10, 49.28
16532500.00, 38.691025, -9.294480, 197.67, 215.58, 17.91, 3.75,114,311, 1580, 14.82, 49.28
16532500.00, 38.691025, -9.294480, 197.47, 215.58, 18.11, 4.06,114,311, 1580, 15.09, 49.28
16532500.00, 38.691025, -9.294480, 196.90, 215.58, 18.68, 4.44,97,293, 1580, 15.85, 49.28
16532500.00, 38.691025, -9.294480, 196.80, 215.58, 18.78, 4.75,97,293, 1580, 15.98, 49.28
16532500.00, 38.691025, -9.294480, 197.00, 215.58, 18.58, 5.31,82,279, 1580, 15.72, 49.28
16532500.00, 38.691025, -9.294480, 197.15, 215.58, 18.43, 6.06,62,259, 1584, 15.52, 49.28
16532500.00, 38.691025, -9.294480, 196.77, 215.58, 18.82, 7.06,62,258, 1584, 16.03, 49.28
16532500.00, 38.691025, -9.294480, 196.56, 215.58, 19.02, 8.19,58,254, 1584, 16.31, 49.28
16532500.00, 38.691025, -9.294480, 195.97, 215.58, 19.61, 9.44,58,253, 1584, 17.11, 49.28
16532500.00, 38.691025, -9.294480, 196.03, 215.58, 19.55, 10.56,47,243, 1584, 17.03, 49.28
16532500.00, 38.691025, -9.294480, 196.26, 215.58, 19.32, 12.00,47,243, 1584, 16.71, 49.28
16532500.00, 38.691025, -9.294480, 196.59, 215.58, 18.99, 12.63,42,238, 1580, 16.27, 49.28
16532500.00, 38.691025, -9.294480, 197.07, 215.58, 18.51, 13.25,42,239, 1580, 15.62, 49.28
16532500.00, 38.691025, -9.294480, 196.96, 215.58, 18.63, 13.94,38,234, 1580, 15.78, 49.28
16532500.00, 38.691025, -9.294480, 197.00, 215.58, 18.58, 14.50,38,235, 1580, 15.72, 49.28
16532500.00, 38.691025, -9.294480, 198.00, 215.58, 17.59, 14.75,39,236, 1580, 14.40, 49.28
16532500.00, 38.691025, -9.294480, 198.92, 215.58, 16.66, 14.75,39,237, 1580, 13.20, 49.28
16532500.00, 38.691025, -9.294480, 199.35, 215.58, 16.23, 14.56,45,244, 1580, 12.65, 49.28
16532500.00, 38.691025, -9.294480, 200.69, 215.58, 14.89, 14.25,45,245, 1580, 10.97, 49.28
16532500.00, 38.691025, -9.294480, 201.21, 215.58, 14.38, 13.75,54,255, 1580, 10.35, 49.28
16532500.00, 38.691025, -9.294480, 201.38, 215.58, 14.20, 13.25,54,255, 1580, 10.13, 49.28
16532500.00, 38.691025, -9.294480, 201.34, 215.58, 14.24, 12.63,62,263, 1580, 10.19, 49.28
16532500.00, 38.691025, -9.294480, 201.66, 215.58, 13.92, 11.94,62,263, 1580, 9.80, 49.28
16532500.00, 38.691025, -9.294480, 201.56, 215.58, 14.03, 11.25,71,272, 1580, 9.92, 49.28
16532500.00, 38.691025, -9.294480, 201.45, 215.58, 14.13, 10.50,71,272, 1580, 10.05, 49.28
16532500.00, 38.691025, -9.294480, 201.62, 215.58, 13.96, 9.63,79,280, 1584, 9.85, 49.28
16532500.00, 38.691025, -9.294480, 201.44, 215.58, 14.14, 8.81,79,280, 1584, 10.06, 49.28
16532500.00, 38.691025, -9.294480, 201.84, 215.58, 13.74, 7.81,85,286, 15, 9.58, 49.28
16532500.00, 38.691025, -9.294480, 201.96, 215.58, 13.62, 6.75,85,286, 15, 9.43, 49.28
16532500.00, 38.691025, -9.294480, 201.49, 215.58, 14.09, 5.69,90,291, 1580, 10.00, 49.28
16532500.00, 38.691025, -9.294480, 200.99, 215.58, 14.59, 4.87,90,290, 1580, 10.61, 49.28
16532700.00, 38.691002, -9.294493, 200.55, 215.58, 15.04, 3.87,94,294, 1580, 11.16, 46.57
16532700.00, 38.691002, -9.294493, 200.18, 215.58, 15.41, 2.94,94,294, 1580, 11.62, 46.57
16532700.00, 38.691002, -9.294493, 199.66, 215.58, 15.92, 2.19,98,297, 1580, 12.26, 46.57
16532700.00, 38.691002, -9.294493, 199.34, 215.58, 16.25, 1.37,98,297, 1580, 12.67, 46.57
16532700.00, 38.691002, -9.294493, 199.16, 215.58, 16.42, 0.69,101,300, 1580, 12.90, 46.57
16532700.00, 38.691002, -9.294493, 198.62, 215.58, 16.97, 0.06,101,299, 1580, 13.59, 46.57
16532700.00, 38.691002, -9.294493, 198.37, 215.58, 17.21, -0.37,102,300, 1580, 13.91, 46.57
16532700.00, 38.691002, -9.294493, 197.43, 215.58, 18.15, -1.00,102,299, 1580, 15.15, 46.57
16532700.00, 38.691002, -9.294493, 197.73, 215.58, 17.85, -1.62,105,302, 1580, 14.74, 46.57
16532700.00, 38.691002, -9.294493, 197.75, 215.58, 17.83, -2.25,105,302, 1580, 14.72, 46.57
16532700.00, 38.691002, -9.294493, 197.71, 215.58, 17.87, -2.81,109,306, 1584, 14.77, 46.57
16532700.00, 38.691002, -9.294493, 197.36, 215.58, 18.23, -3.19,109,306, 1584, 15.24, 46.57
16532700.00, 38.691002, -9.294493, 196.82, 215.58, 18.76, -3.50,112,308, 1580, 15.96, 46.57
16532700.00, 38.691002, -9.294493, 196.46, 215.58, 19.13, -3.75,112,308, 1580, 16.45, 46.57
16532700.00, 38.691002, -9.294493, 196.53, 215.58, 19.05, -4.12,115,311, 1580, 16.35, 46.57
16532700.00, 38.691002, -9.294493, 196.25, 215.58, 19.33, -4.50,115,311, 1580, 16.73, 46.57
16532700.00, 38.691002, -9.294493, 196.12, 215.58, 19.47, -4.75,116,312, 1580, 16.92, 46.57
16532800.00, 38.690994, -9.294494, 196.03, 215.58, 19.55, -5.00,116,312, 1580, 17.03, 45.83
16532800.00, 38.690994, -9.294494, 196.34, 215.58, 19.24, -5.19,117,313, 1580, 16.61, 45.83
16532800.00, 38.690994, -9.294494, 196.26, 215.58, 19.32, -5.44,117,313, 1580, 16.72, 45.83
16532800.00, 38.690994, -9.294494, 196.65, 215.58, 18.93, -5.75,117,313, 1584, 16.19, 45.83
16532800.00, 38.690994, -9.294494, 196.91, 215.58, 18.67, -6.06,117,313, 1584, 15.84, 45.83
16532800.00, 38.690994, -9.294494, 197.73, 215.58, 17.86, -6.19,118,315, 1580, 14.75, 45.83
16532800.00, 38.690994, -9.294494, 197.89, 215.58, 17.69, -6.25,118,315, 1580, 14.54, 45.83
16532800.00, 38.690994, -9.294494, 198.20, 215.58, 17.38, -6.50,115,313, 1580, 14.13, 45.83
16532800.00, 38.690994, -9.294494, 198.78, 215.58, 16.81, -6.87,115,313, 1580, 13.39, 45.83
16532800.00, 38.690994, -9.294494, 199.03, 215.58, 16.55, -7.25,119,318, 1580, 13.06, 45.83
16532800.00, 38.690994, -9.294494, 199.00, 215.58, 16.59, -7.50,119,317, 1580, 13.10, 45.83
16532800.00, 38.690994, -9.294494, 198.87, 215.58, 16.72, -7.69,120,318, 1580, 13.27, 45.83
16532800.00, 38.690994, -9.294494, 199.09, 215.58, 16.49, -7.69,120,319, 1580, 12.98, 45.83
16532800.00, 38.690994, -9.294494, 198.78, 215.58, 16.80, -7.62,121,319, 1580, 13.38, 45.83
16532800.00, 38.690994, -9.294494, 198.70, 215.58, 16.89, -7.62,121,319, 1580, 13.49, 45.83
16532800.00, 38.690994, -9.294494, 198.63, 215.58, 16.95, -7.69,122,320, 1584, 13.58, 45.83
