Time, Latitude, Longitude, currentHeading, desiredHeading, headingError, Roll, WindReading, WindDirection, winchPulseWidth, autoRudderAngle, distanceToTarget 
16510900.00, 38.691135, -9.294524, 267.85, 204.28, -63.57, 4.69,2,269, 1308, -42.05, 58.18
16510900.00, 38.691135, -9.294524, 267.00, 204.28, -62.72, 5.06,2,268, 1308, -40.50, 58.18
16510900.00, 38.691135, -9.294524, 266.69, 204.28, -62.41, 5.12,6,272, 1308, -39.99, 58.18
16510900.00, 38.691135, -9.294524, 265.84, 204.28, -61.56, 5.06,6,271, 1308, -38.63, 58.18
16510900.00, 38.691135, -9.294524, 264.45, 204.28, -60.17, 5.00,6,271, 1308, -36.66, 58.18
16510900.00, 38.691135, -9.294524, 263.73, 204.28, -59.45, 5.06,15,278, 1304, -35.73, 58.18
16510900.00, 38.691135, -9.294524, 262.21, 204.28, -57.93, 5.06,15,277, 1304, -33.97, 58.18
16510900.00, 38.691135, -9.294524, 261.49, 204.28, -57.20, 4.87,20,281, 1308, -33.21, 58.18
16510900.00, 38.691135, -9.294524, 260.34, 204.28, -56.05, 4.62,20,280, 1308, -32.09, 58.18
16510900.00, 38.691135, -9.294524, 258.67, 204.28, -54.39, 4.56,20,280, 1308, -30.64, 58.18
16510900.00, 38.691135, -9.294524, 257.23, 204.28, -52.95, 4.62,20,280, 1308, -29.54, 58.18
16510900.00, 38.691135, -9.294524, 256.24, 204.28, -51.96, 4.44,29,285, 1308, -28.83, 58.18
16510900.00, 38.691135, -9.294524, 255.13, 204.28, -50.85, 4.19,29,284, 1308, -28.11, 58.18
16510900.00, 38.691135, -9.294524, 253.84, 204.28, -49.56, 4.19,22,275, 1308, -27.32, 58.18
16510900.00, 38.691135, -9.294524, 252.38, 204.28, -48.10, 4.50,22,274, 1308, -26.51, 58.18
16510900.00, 38.691135, -9.294524, 251.30, 204.28, -47.02, 4.50,16,267, 1308, -25.95, 58.18
16510900.00, 38.691135, -9.294524, 250.37, 204.28, -46.09, 4.44,16,266, 1308, -25.50, 58.18
16510900.00, 38.691135, -9.294524, 249.38, 204.28, -45.10, 4.87,5,254, 1308, -25.04, 58.18
16510900.00, 38.691135, -9.294524, 248.73, 204.28, -44.45, 5.31,5,253, 1308, -25.00, 58.18
16510900.00, 38.691135, -9.294524, 248.06, 204.28, -43.77, 5.25,6,254, 1308, -25.00, 58.18
16510900.00, 38.691135, -9.294524, 247.33, 204.28, -43.04, 5.00,6,253, 1308, -25.00, 58.18
16510900.00, 38.691135, -9.294524, 246.33, 204.28, -42.05, 4.81,14,260, 1464, -25.00, 58.18
16510900.00, 38.691135, -9.294524, 245.62, 204.28, -41.34, 4.62,14,259, 1464, -25.00, 58.18
16510900.00, 38.691135, -9.294524, 245.13, 204.28, -40.84, 3.87,29,274, 1932, -25.00, 58.18
16510900.00, 38.691135, -9.294524, 245.53, 204.28, -41.25, 2.69,29,274, 1932, -25.00, 58.18
16510900.00, 38.691135, -9.294524, 245.50, 204.28, -41.22, 1.25,34,279, 2056, -25.00, 58.18
16510900.00, 38.691135, -9.294524, 245.53, 204.28, -41.25, 0.19,34,279, 2056, -25.00, 58.18
16510900.00, 38.691135, -9.294524, 244.77, 204.28, -40.49, -0.50,33,277, 2032, -25.00, 58.18
16510900.00, 38.691135, -9.294524, 243.99, 204.28, -39.71, -1.06,33,276, 2032, -25.00, 58.18
16510900.00, 38.691135, -9.294524, 243.30, 204.28, -39.02, -1.75,32,275, 2028, -25.00, 58.18
16511100.00, 38.691135, -9.294527, 242.65, 204.28, -38.37, -3.31,32,274, 2028, -25.00, 58.08
16511100.00, 38.691135, -9.294527, 241.62, 204.28, -37.34, -4.75,29,270, 2028, -25.00, 58.08
16511100.00, 38.691135, -9.294527, 240.26, 204.28, -35.98, -5.50,29,269, 2028, -25.00, 58.08
16511100.00, 38.691135, -9.294527, 239.57, 204.28, -35.29, -5.87,23,262, 2032, -25.00, 58.08
16511100.00, 38.691135, -9.294527, 238.49, 204.28, -34.20, -6.12,23,261, 2032, -25.00, 58.08
16511100.00, 38.691135, -9.294527, 237.26, 204.28, -32.98, -6.50,17,254, 2032, -25.00, 58.08
16511100.00, 38.691135, -9.294527, 236.58, 204.28, -32.30, -7.37,17,253, 2032, -25.00, 58.08
16511100.00, 38.691135, -9.294527, 235.83, 204.28, -31.55, -8.00,18,253, 2032, -25.00, 58.08
16511100.00, 38.691135, -9.294527, 234.18, 204.28, -29.90, -8.06,18,252, 2032, -25.00, 58.08
16511100.00, 38.691135, -9.294527, 233.11, 204.28, -28.83, -8.13,25,258, 2056, -25.00, 58.08
16511100.00, 38.691135, -9.294527, 232.04, 204.28, -27.76, -8.38,25,257, 2056, -25.00, 58.08
16511100.00, 38.691135, -9.294527, 230.88, 204.28, -26.60, -8.63,29,259, 2052, -25.00, 58.08
16511100.00, 38.691135, -9.294527, 229.53, 204.28, -25.25, -8.75,29,258, 2052, -25.00, 58.08
16511100.00, 38.691135, -9.294527, 228.23, 204.28, -23.95, -8.94,33,261, 2056, -23.38, 58.08
16511100.00, 38.691135, -9.294527, 227.12, 204.28, -22.83, -8.94,33,260, 2056, -21.70, 58.08
16511100.00, 38.691135, -9.294527, 225.56, 204.28, -21.28, -8.63,31,256, 2056, -19.44, 58.08
16511100.00, 38.691135, -9.294527, 223.41, 204.28, -19.12, -7.12,31,254, 2056, -16.45, 58.08
16511100.00, 38.691135, -9.294527, 221.55, 204.28, -17.27, -6.75,21,242, 2060, -13.98, 58.08
16511100.00, 38.691135, -9.294527, 220.10, 204.28, -15.82, -6.56,21,241, 2060, -12.14, 58.08
16511100.00, 38.691135, -9.294527, 218.76, 204.28, -14.48, -6.31,37,255, 2056, -10.47, 58.08
16511100.00, 38.691135, -9.294527, 217.12, 204.28, -12.83, -5.87,37,254, 2056, -8.50, 58.08
16511100.00, 38.691135, -9.294527, 216.08, 204.28, -11.79, -5.50,40,256, 2056, -7.29, 58.08
16511100.00, 38.691135, -9.294527, 214.98, 204.28, -10.70, -5.06,40,254, 2056, -6.04, 58.08
16511100.00, 38.691135, -9.294527, 213.49, 204.28, -9.21, -4.75,46,259, 2056, -4.39, 58.08
16511100.00, 38.691135, -9.294527, 211.92, 204.28, -7.64, -4.50,46,257, 2056, -2.71, 58.08
16511100.00, 38.691135, -9.294527, 210.97, 204.28, -6.69, -4.37,52,262, 2056, -1.72, 58.08
16511100.00, 38.691135, -9.294527, 209.81, 204.28, -5.53, -4.37,52,261, 2056, -0.53, 58.08
16511100.00, 38.691135, -9.294527, 208.98, 204.28, -4.69, -4.37,57,265, 2056, 0.00, 58.08
16511100.00, 38.691135, -9.294527, 207.76, 204.28, -3.47, -4.31,57,264, 2056, 0.00, 58.08
16511100.00, 38.691135, -9.294527, 206.83, 204.28, -2.55, -4.25,58,264, 2056, 0.00, 58.08
16511100.00, 38.691135, -9.294527, 205.58, 204.28, -1.30, -4.31,58,263, 2056, 0.00, 58.08
16511100.00, 38.691135, -9.294527, 204.55, 204.28, -0.27, -4.31,57,261, 2056, 0.00, 58.08
16511100.00, 38.691135, -9.294527, 203.55, 204.28, 0.74, -4.31,57,260, 2056, 0.00, 58.08
16511100.00, 38.691135, -9.294527, 202.20, 204.28, 2.09, -4.25,55,257, 2056, 0.00, 58.08
16511100.00, 38.691135, -9.294527, 201.25, 204.28, 3.03, -4.06,55,256, 2056, 0.00, 58.08
