Time, Latitude, Longitude, currentHeading, desiredHeading, headingError, Roll, WindReading, WindDirection, winchPulseWidth, autoRudderAngle, distanceToTarget 
17085600.00, 38.690987, -9.294462, 227.58, 218.77, -8.81, -15.38,65,292, 2032, -3.96, 46.80
17085600.00, 38.690987, -9.294462, 227.76, 218.77, -8.99, -15.44,65,292, 2032, -4.15, 46.80
17085600.00, 38.690987, -9.294462, 228.35, 218.77, -9.58, -15.44,60,288, 2056, -4.80, 46.80
17085600.00, 38.690987, -9.294462, 229.08, 218.77, -10.31, -15.25,60,289, 2056, -5.60, 46.80
17085600.00, 38.690987, -9.294462, 229.24, 218.77, -10.47, -15.00,57,286, 2056, -5.79, 46.80
17085600.00, 38.690987, -9.294462, 229.42, 218.77, -10.65, -14.69,57,286, 2056, -5.99, 46.80
17085700.00, 38.690983, -9.294470, 229.41, 218.77, -10.64, -14.38,57,286, 2056, -5.97, 46.06
17085700.00, 38.690983, -9.294470, 228.95, 218.77, -10.18, -13.75,57,285, 2056, -5.46, 46.06
17085700.00, 38.690983, -9.294470, 228.80, 218.77, -10.03, -13.13,60,288, 2056, -5.29, 46.06
17085700.00, 38.690983, -9.294470, 228.28, 218.77, -9.51, -12.31,60,288, 2056, -4.72, 46.06
17085700.00, 38.690983, -9.294470, 226.88, 218.77, -8.11, -11.56,63,289, 1956, -3.21, 46.06
17085700.00, 38.690983, -9.294470, 225.61, 218.77, -6.84, -10.81,63,288, 1956, -1.87, 46.06
17085700.00, 38.690983, -9.294470, 224.51, 218.77, -5.74, -9.94,66,290, 1980, -0.75, 46.06
17085700.00, 38.690983, -9.294470, 223.04, 218.77, -4.27, -9.25,66,289, 1980, 0.00, 46.06
17085700.00, 38.690983, -9.294470, 221.95, 218.77, -3.17, -8.31,74,295, 1980, 0.00, 46.06
17085700.00, 38.690983, -9.294470, 220.25, 218.77, -1.48, -6.56,74,294, 1980, 0.00, 46.06
17085700.00, 38.690983, -9.294470, 218.19, 218.77, 0.58, -6.37,94,312, 1980, 0.00, 46.06
17085700.00, 38.690983, -9.294470, 216.29, 218.77, 2.48, -6.12,94,310, 1980, 0.00, 46.06
17085700.00, 38.690983, -9.294470, 214.83, 218.77, 3.94, -5.81,99,313, 1980, 0.00, 46.06
17085700.00, 38.690983, -9.294470, 213.61, 218.77, 5.17, -5.69,99,312, 1980, 0.17, 46.06
17085700.00, 38.690983, -9.294470, 212.69, 218.77, 6.09, -5.81,99,311, 1984, 1.10, 46.06
17085700.00, 38.690983, -9.294470, 211.35, 218.77, 7.42, -6.12,99,310, 1984, 2.48, 46.06
17085700.00, 38.690983, -9.294470, 209.95, 218.77, 8.82, -6.31,1,210, 1984, 3.97, 46.06
17085800.00, 38.690975, -9.294476, 208.95, 218.77, 9.82, -7.25,1,209, 1984, 5.06, 45.08
17085800.00, 38.690975, -9.294476, 207.82, 218.77, 10.95, -7.69,104,311, 1980, 6.32, 45.08
17085800.00, 38.690975, -9.294476, 206.62, 218.77, 12.15, -8.00,104,310, 1980, 7.70, 45.08
17085800.00, 38.690975, -9.294476, 205.49, 218.77, 13.28, -8.13,10,215, 1980, 9.03, 45.08
17085800.00, 38.690975, -9.294476, 204.35, 218.77, 14.43, -8.25,10,214, 1980, 10.41, 45.08
17085800.00, 38.690975, -9.294476, 203.07, 218.77, 15.70, -8.00,116,319, 1980, 11.98, 45.08
17085800.00, 38.690975, -9.294476, 202.20, 218.77, 16.58, -7.94,116,318, 1980, 13.09, 45.08
17085800.00, 38.690975, -9.294476, 201.00, 218.77, 17.77, -7.81,122,323, 1980, 14.64, 45.08
17085800.00, 38.690975, -9.294476, 200.43, 218.77, 18.34, -7.56,122,322, 1980, 15.39, 45.08
17085800.00, 38.690975, -9.294476, 199.45, 218.77, 19.32, -7.44,128,327, 1980, 16.72, 45.08
17085800.00, 38.690975, -9.294476, 198.72, 218.77, 20.05, -7.37,128,326, 1980, 17.72, 45.08
17085800.00, 38.690975, -9.294476, 198.34, 218.77, 20.43, -7.37,133,331, 1980, 18.24, 45.08
17085800.00, 38.690975, -9.294476, 197.80, 218.77, 20.97, -7.19,133,330, 1980, 19.00, 45.08
17085800.00, 38.690975, -9.294476, 197.88, 218.77, 20.89, -7.06,134,331, 1980, 18.89, 45.08
17085800.00, 38.690975, -9.294476, 197.89, 218.77, 20.88, -7.00,134,331, 1980, 18.87, 45.08
17085800.00, 38.690975, -9.294476, 198.06, 218.77, 20.72, -7.12,135,333, 1980, 18.65, 45.08
17085800.00, 38.690975, -9.294476, 198.27, 218.77, 20.50, -7.25,135,333, 1980, 18.34, 45.08
17085800.00, 38.690975, -9.294476, 198.63, 218.77, 20.15, -7.25,133,331, 1980, 17.85, 45.08
17085900.00, 38.690964, -9.294480, 199.09, 218.77, 19.68, -7.37,133,332, 1980, 17.21, 43.83
17085900.00, 38.690964, -9.294480, 199.33, 218.77, 19.44, -7.37,132,331, 1980, 16.87, 43.83
17085900.00, 38.690964, -9.294480, 199.76, 218.77, 19.02, -7.37,132,331, 1980, 16.30, 43.83
17085900.00, 38.690964, -9.294480, 200.14, 218.77, 18.63, -7.56,132,332, 1980, 15.78, 43.83
17085900.00, 38.690964, -9.294480, 200.62, 218.77, 18.15, -7.75,132,332, 1980, 15.14, 43.83
17085900.00, 38.690964, -9.294480, 201.56, 218.77, 17.21, -7.87,130,331, 1980, 13.91, 43.83
17085900.00, 38.690964, -9.294480, 201.89, 218.77, 16.88, -7.94,130,331, 1980, 13.49, 43.83
17085900.00, 38.690964, -9.294480, 202.79, 218.77, 15.98, -8.13,126,328, 1980, 12.33, 43.83
17085900.00, 38.690964, -9.294480, 202.91, 218.77, 15.86, -8.25,126,328, 1980, 12.18, 43.83
17085900.00, 38.690964, -9.294480, 203.94, 218.77, 14.84, -8.44,124,327, 1980, 10.91, 43.83
17085900.00, 38.690964, -9.294480, 204.64, 218.77, 14.14, -8.44,124,328, 1980, 10.06, 43.83
17085900.00, 38.690964, -9.294480, 204.83, 218.77, 13.94, -8.19,123,327, 1980, 9.82, 43.83
17085900.00, 38.690964, -9.294480, 205.22, 218.77, 13.55, -7.94,123,328, 1980, 9.35, 43.83
17085900.00, 38.690964, -9.294480, 205.33, 218.77, 13.44, -7.75,118,323, 1980, 9.22, 43.83
17085900.00, 38.690964, -9.294480, 204.98, 218.77, 13.79, -7.69,118,322, 1980, 9.64, 43.83
17085900.00, 38.690964, -9.294480, 204.93, 218.77, 13.85, -7.56,118,322, 1984, 9.71, 43.83
17090000.00, 38.690956, -9.294484, 204.27, 218.77, 14.51, -6.62,118,322, 1984, 10.50, 42.97
17090000.00, 38.690956, -9.294484, 203.67, 218.77, 15.10, -6.37,99,302, 1980, 11.24, 42.97
17090000.00, 38.690956, -9.294484, 203.44, 218.77, 15.33, -6.00,99,302, 1980, 11.52, 42.97
17090000.00, 38.690956, -9.294484, 203.13, 218.77, 15.65, -5.62,87,290, 1980, 11.91, 42.97
17090000.00, 38.690956, -9.294484, 202.88, 218.77, 15.90, -5.31,87,289, 1980, 12.23, 42.97
17090000.00, 38.690956, -9.294484, 202.86, 218.77, 15.91, -5.06,79,281, 1984, 12.25, 42.97
17090000.00, 38.690956, -9.294484, 202.28, 218.77, 16.49, -4.87,79,281, 1984, 12.99, 42.97
17090000.00, 38.690956, -9.294484, 201.99, 218.77, 16.78, -4.75,71,272, 1984, 13.36, 42.97
17090000.00, 38.690956, -9.294484, 201.41, 218.77, 17.36, -4.50,71,272, 1984, 14.11, 42.97
17090000.00, 38.690956, -9.294484, 200.70, 218.77, 18.08, -4.31,65,265, 1980, 15.04, 42.97
17090000.00, 38.690956, -9.294484, 200.02, 218.77, 18.75, -4.12,65,265, 1980, 15.94, 42.97
