lat,lon
 38.690987, -9.294410
 38.690987, -9.294410
 38.690987, -9.294410
 38.690987, -9.294410
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690971, -9.294415
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690960, -9.294424
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690948, -9.294431
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690941, -9.294436
 38.690933, -9.294440
 38.690933, -9.294440
 38.690933, -9.294440
 38.690933, -9.294440
 38.690933, -9.294440
 38.690933, -9.294440
 38.690933, -9.294440
 38.690933, -9.294440
 38.690933, -9.294440
 38.690933, -9.294440
 38.690933, -9.294440
 38.690933, -9.294440
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690926, -9.294443
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690922, -9.294445
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690895, -9.294458
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690887, -9.294465
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690876, -9.294472
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690865, -9.294477
 38.690853, -9.294485
 38.690853, -9.294485
 38.690853, -9.294485
 38.690853, -9.294485
 38.690853, -9.294485
 38.690853, -9.294485
 38.690853, -9.294485
 38.690853, -9.294485
 38.690853, -9.294485
 38.690853, -9.294485
 38.690853, -9.294485
 38.690853, -9.294485
